Quarter,Number of offers,Average announced price in €,Average announced price per squared meter in €,Year
Belair,277,905172.7365,9218.555566,2017
Bonnevoie,515,617495.6466,7245.938681,2017
Cents,82,716929.2683,7087.125696,2017
Cessange,272,620376.2941,7615.25551,2017
Clausen,4,499606.1256,499606.1256,2017
Dommeldange,73,1152934.233,8671.174864,2017
Eich,78,569961.0641,7007.082186,2017
Gare,394,648171.6802,7127.426408,2017
Gasperich,1861,573773.6765,8237.044174,2017
Grund,18,620266.9444,12371.44967,2017
Hamm,61,624546.5082,7499.008846,2017
Hollerich,232,627794.3233,7290.650987,2017
Kirchberg,391,837875.2634,9357.176661,2017
Limpertsberg,342,928577.038,11764.89955,2017
Merl,144,766119.3403,8417.871144,2017
Mühlenbach,55,688782.7818,7596.460832,2017
Neudorf,105,800569.4476,8849.784066,2017
Pfaffenthal,6,499606.1256,499606.1256,2017
Pulvermühle,1,499606.1256,499606.1256,2017
Rollingergrund,68,593332.1765,8436.553243,2017
Ville-Haute,116,762865.0603,8799.335707,2017
Weimerskirch,29,499606.1256,499606.1256,2017
Beggen,52,692357.81,7462.396,2018
Belair,268,1152777.5,10155.16,2018
Bonnevoie,169,620802.91,7765.603,2018
Cents,129,847573.64,7817.137,2018
Cessange,709,736154.89,10836.41,2018
Clausen,4,570849.71,570849.71,2018
Dommeldange,80,1378370,9327.383,2018
Eich,19,570849.71,570849.71,2018
Gare,118,853577.59,8875.976,2018
Gasperich,569,674993.69,9529.307,2018
Grund,18,570849.71,570849.71,2018
Hamm,56,682011.25,7439.747,2018
Hollerich,73,646071.47,7593.299,2018
Kirchberg,421,1025155.5,9807.844,2018
Limpertsberg,337,968092.77,12203.54,2018
Merl,190,909502.22,9579.515,2018
Mühlenbach,60,640750.38,9272.686,2018
Neudorf,85,773270.24,9089.994,2018
Pfaffenthal,29,570849.71,570849.71,2018
Pulvermühle,1,570849.71,570849.71,2018
Rollingergrund,123,829092.46,9490.2,2018
Ville-Haute,229,949490.76,10428.21,2018
Weimerskirch,33,961181.82,8335.125,2018
Beggen,92,717041,8871.908,2019
Belair,204,1125541.2,10659.35,2019
Bonnevoie,221,763677.7,9321.942,2019
Cents,63,778531.75,8505.762,2019
Cessange,3769,772207.27,11782.96,2019
Clausen,7,658977.43,658977.43,2019
Dommeldange,31,1323709.7,10304.93,2019
Eich,36,840958.08,9696.524,2019
Gare,125,911015.56,10208.51,2019
Gasperich,441,842680.47,11132.22,2019
Grund,15,658977.43,658977.43,2019
Hamm,53,668832.13,9317.654,2019
Hollerich,172,701524.94,10628.94,2019
Kirchberg,261,1094925.2,11062.66,2019
Limpertsberg,113,974033.41,12467,2019
Merl,122,888490.89,10238.42,2019
Mühlenbach,81,943578.68,11001.23,2019
Neudorf,358,1055110.5,10241.14,2019
Pfaffenthal,2,658977.43,658977.43,2019
Pulvermühle,0,658977.43,658977.43,2019
Rollingergrund,134,1087411.5,11103.3,2019
Ville-Haute,121,903459.53,11263.78,2019
Weimerskirch,5,658977.43,658977.43,2019
Beggen,72,942475.53,9189.86,2020
Belair,456,1128699.8,13579.39,2020
Bonnevoie,292,790692.89,10453.51,2020
Cents,125,800551.55,10421.85,2020
Cessange,4158,914442.75,12426,2020
Clausen,14,810617.7,810617.7,2020
Dommeldange,51,1339549,9410.357,2020
Eich,38,1047842.1,10786.03,2020
Gare,120,944633.83,11641.48,2020
Gasperich,441,888726.77,12421.53,2020
Grund,1,810617.7,810617.7,2020
Hamm,43,692727.16,9955.194,2020
Hollerich,143,731715.37,11096.8,2020
Kirchberg,353,1142548.3,13287.09,2020
Limpertsberg,128,1120685.8,13328.27,2020
Merl,128,1236484.3,12751.15,2020
Mühlenbach,151,955660.9,11367.74,2020
Neudorf,969,1078033.2,10665.3,2020
Pfaffenthal,42,995088.19,13678.59,2020
Pulvermühle,0,810617.7,810617.7,2020
Rollingergrund,152,934283.38,11412.47,2020
Ville-Haute,179,1068702.5,11601.63,2020
Weimerskirch,85,1005641.4,15153.99,2020
Beggen,87,889524.51,9911.854,2021
Belair,577,1146468.5,13538.78,2021
Bonnevoie,439,794838.71,10646.64,2021
Cents,180,809869.12,10270.7,2021
Cessange,2264,1032392.4,12686.17,2021
Clausen,11,862438,862438,2021
Dommeldange,84,1181604.6,10775.63,2021
Eich,136,876845.08,12169.2,2021
Gare,217,909926.47,11414.38,2021
Gasperich,555,962252.3,12870.37,2021
Grund,6,862438,862438,2021
Hamm,47,780615.32,9839.062,2021
Hollerich,131,725053.1,10998.22,2021
Kirchberg,736,1076198.3,15085.52,2021
Limpertsberg,175,1149353.1,14196.41,2021
Merl,193,1172429.6,12555.41,2021
Mühlenbach,114,936693.79,11106.68,2021
Neudorf,664,1022111.7,11149.8,2021
Pfaffenthal,129,959773.68,13977.59,2021
Pulvermühle,1,862438,862438,2021
Rollingergrund,152,960414.79,11234.22,2021
Ville-Haute,207,1000227.6,11740.79,2021
Weimerskirch,164,956075.03,16124.5,2021
