APH_Quarter,APH_Number of offers,APH_Average announced price in €,APH_Average announced price per squared meter in €,APH_Year
Belair,19,1012947.368,5228.03045,2012
Bonnevoie,108,766207.1759,4257.325895,2012
Cents,17,884117.6471,4937.30216,2012
Cessange,107,940924.1495,5556.161054,2012
Clausen,2,596347.9724,3408.711732,2012
Dommeldange,15,801960,4246.242094,2012
Eich,7,596347.9724,3408.711732,2012
Gare,1,596347.9724,3408.711732,2012
Gasperich,38,646343.9474,4170.383921,2012
Grund,8,596347.9724,3408.711732,2012
Hamm,13,800384.6154,4331.424756,2012
Hollerich,3,596347.9724,3408.711732,2012
Kirchberg,54,1018293.667,5286.531873,2012
Limpertsberg,24,1209666.667,5509.345574,2012
Merl,9,596347.9724,3408.711732,2012
M?henbach,12,663750,3851.653806,2012
Neudorf,18,669888.8889,4183.807273,2012
Pfaffenthal,5,596347.9724,3408.711732,2012
Pulverm?le,0,596347.9724,3408.711732,2012
Rollingergrund,31,705774.1935,4405.953315,2012
Ville-Haute,13,778076.9231,4359.181992,2012
Weimerskirch,57,664341.8596,4056.445982,2012
Beggen,28,763142.8571,4170.177276,2013
Belair,22,1533863.636,6243.783875,2013
Bonnevoie,66,866378.7879,4602.790923,2013
Cents,22,790090.9091,4994.896732,2013
Cessange,90,1087689.378,5692.873502,2013
Clausen,9,644884.9797,3589.790108,2013
Dommeldange,17,667705.8824,3741.621496,2013
Eich,8,644884.9797,3589.790108,2013
Gare,1,644884.9797,3589.790108,2013
Gasperich,29,765627.931,4607.287491,2013
Grund,1,644884.9797,3589.790108,2013
Hamm,21,737380.9524,4386.786298,2013
Hollerich,1,644884.9797,3589.790108,2013
Kirchberg,39,982860.2051,5546.484494,2013
Limpertsberg,39,1380307.692,5817.24663,2013
Merl,17,1316941.176,5810.132895,2013
M?henbach,13,846538.3846,4393.222965,2013
Neudorf,21,623490.4762,3940.165459,2013
Pfaffenthal,0,644884.9797,3589.790108,2013
Pulverm?le,1,644884.9797,3589.790108,2013
Rollingergrund,11,929818.1818,5024.962217,2013
Ville-Haute,10,1263500,4657.948943,2013
Weimerskirch,26,760034.6154,4733.046979,2013
Beggen,21,794047.619,4807.155939,2014
Belair,21,1376904.762,6258.828209,2014
Bonnevoie,64,792609.375,4624.887433,2014
Cents,7,663639.733,3647.123608,2014
Cessange,31,928158.2581,5109.510317,2014
Clausen,5,663639.733,3647.123608,2014
Dommeldange,15,731066.6667,4296.603732,2014
Eich,3,663639.733,3647.123608,2014
Gare,3,663639.733,3647.123608,2014
Gasperich,30,859145.1667,4743.184709,2014
Grund,1,663639.733,3647.123608,2014
Hamm,22,782181.8182,4479.86008,2014
Hollerich,5,663639.733,3647.123608,2014
Kirchberg,34,933779.2941,5856.254967,2014
Limpertsberg,32,1501296.875,7112.013341,2014
Merl,9,663639.733,3647.123608,2014
M?henbach,6,663639.733,3647.123608,2014
Neudorf,12,778583.3333,4046.586402,2014
Pfaffenthal,0,663639.733,3647.123608,2014
Pulverm?le,0,663639.733,3647.123608,2014
Rollingergrund,16,713000,4274.327097,2014
Ville-Haute,6,663639.733,3647.123608,2014
Weimerskirch,16,692812.5,4283.390966,2014
Beggen,37,962243.2432,5037.740933,2015
Belair,28,1469733.357,7298.080834,2015
Bonnevoie,45,846822.2222,5083.258236,2015
Cents,2,724337.1438,3943.024286,2015
Cessange,20,1105300,5418.74958,2015
Clausen,0,724337.1438,3943.024286,2015
Dommeldange,13,785307.6923,4594.917745,2015
Eich,3,724337.1438,3943.024286,2015
Gare,0,724337.1438,3943.024286,2015
Gasperich,26,697576.9231,4460.881863,2015
Grund,0,724337.1438,3943.024286,2015
Hamm,15,726666.6667,4289.215258,2015
Hollerich,0,724337.1438,3943.024286,2015
Kirchberg,39,1034932.615,7374.707516,2015
Limpertsberg,22,1458681.818,6367.392262,2015
Merl,12,1152500,5573.421434,2015
M?henbach,7,724337.1438,3943.024286,2015
Neudorf,15,979800,4761.104603,2015
Pfaffenthal,1,724337.1438,3943.024286,2015
Pulverm?le,0,724337.1438,3943.024286,2015
Rollingergrund,19,949526.3158,5493.597957,2015
Ville-Haute,13,860876.9231,4857.483735,2015
Weimerskirch,7,724337.1438,3943.024286,2015
Beggen,15,1033666.667,5213.000159,2016
Belair,13,1536846.154,6833.537606,2016
Bonnevoie,30,937150,5209.337566,2016
Cents,6,754509.2219,4124.10338,2016
Cessange,15,1021800,5325.412544,2016
Clausen,0,754509.2219,4124.10338,2016
Dommeldange,9,754509.2219,4124.10338,2016
Eich,5,754509.2219,4124.10338,2016
Gare,4,754509.2219,4124.10338,2016
Gasperich,27,1057829.63,6390.831741,2016
Grund,1,754509.2219,4124.10338,2016
Hamm,11,792909.0909,4754.996437,2016
Hollerich,3,754509.2219,4124.10338,2016
Kirchberg,16,1514187.5,7917.739119,2016
Limpertsberg,7,754509.2219,4124.10338,2016
Merl,5,754509.2219,4124.10338,2016
M?henbach,17,1092562.824,7157.62655,2016
Neudorf,16,1022875,5510.902282,2016
Pfaffenthal,0,754509.2219,4124.10338,2016
Pulverm?le,0,754509.2219,4124.10338,2016
Rollingergrund,8,754509.2219,4124.10338,2016
Ville-Haute,18,1074550,5707.774653,2016
Weimerskirch,9,754509.2219,4124.10338,2016
Beggen,10,875400,5225.660595,2017
Belair,60,1851333.333,8266.676891,2017
Bonnevoie,60,1181583.333,6259.92845,2017
Cents,23,1331086.957,6693.070919,2017
Cessange,29,1264034.483,6201.581838,2017
Clausen,2,812919.0678,4274.039466,2017
Dommeldange,10,864900,5389.412309,2017
Eich,2,812919.0678,4274.039466,2017
Gare,0,812919.0678,4274.039466,2017
Gasperich,50,1161271.86,6781.304026,2017
Grund,1,812919.0678,4274.039466,2017
Hamm,23,835608.6957,5395.703732,2017
Hollerich,1,812919.0678,4274.039466,2017
Kirchberg,14,1472357.143,8120.7577,2017
Limpertsberg,31,1627903.226,7929.644231,2017
Merl,35,1602057.143,7594.61806,2017
M?lenbach,4,812919.0678,4274.039466,2017
Neudorf,12,1238083.333,7088.60481,2017
Pfaffenthal,1,812919.0678,4274.039466,2017
Pulverm?le,5,812919.0678,4274.039466,2017
Rollingergrund,8,812919.0678,4274.039466,2017
Ville-Haute,28,2250714.286,8080.451433,2017
Weimerskirch,35,1290428.571,7023.609954,2017
Beggen,15,1225000,6262.699,2018
Belair,71,2654788.7,9239.267,2018
Bonnevoie,62,1148871,6280.688,2018
Cents,29,1689206.9,7984.277,2018
Cessange,53,1447094.3,6426.909,2018
Clausen,0,874685.96,4562.288,2018
Dommeldange,45,1251531.1,6328.016,2018
Eich,6,874685.96,4562.288,2018
Gare,4,874685.96,4562.288,2018
Gasperich,29,1063069,6742.23,2018
Grund,2,874685.96,4562.288,2018
Hamm,5,874685.96,4562.288,2018
Hollerich,19,1259105.3,6621.735,2018
Kirchberg,23,1980347.8,8849.369,2018
Limpertsberg,45,2117855.6,8996.377,2018
Merl,23,1560434.8,7500.479,2018
M?lenbach,7,874685.96,4562.288,2018
Neudorf,23,953734.78,6204.487,2018
Pfaffenthal,4,874685.96,4562.288,2018
Pulverm?le,4,874685.96,4562.288,2018
Rollingergrund,7,874685.96,4562.288,2018
Ville-Haute,39,1623923.1,8637.998,2018
Weimerskirch,55,1283943.3,7432.008,2018
Beggen,31,1036548.4,7221.785,2019
Belair,62,2679516.1,9527.484,2019
Bonnevoie,74,1389331.1,7762.865,2019
Cents,30,1309700,7565.98,2019
Cessange,11,970589.13,5038.614,2019
Clausen,0,970589.13,5038.614,2019
Dommeldange,9,970589.13,5038.614,2019
Eich,2,970589.13,5038.614,2019
Gare,2,970589.13,5038.614,2019
Gasperich,51,1165577.5,7212.165,2019
Grund,1,970589.13,5038.614,2019
Hamm,17,970589.13,5038.614,2019
Hollerich,3,970589.13,5038.614,2019
Kirchberg,32,1982172.8,9467.93,2019
Limpertsberg,27,970589.13,5038.614,2019
Merl,16,970589.13,5038.614,2019
M?lenbach,3,970589.13,5038.614,2019
Neudorf,46,1384772.7,9009.229,2019
Pfaffenthal,40,1137875,6864.632,2019
Pulverm?le,0,970589.13,5038.614,2019
Rollingergrund,14,970589.13,5038.614,2019
Ville-Haute,17,970589.13,5038.614,2019
Weimerskirch,26,970589.13,5038.614,2019
Beggen,15,1180466.6,6364.361,2020
Belair,31,2611967.7,10418.35,2020
Bonnevoie,110,1486700,8338.458,2020
Cents,46,1476196.5,8396.083,2020
Cessange,280,1597736,10942.63,2020
Clausen,2,1180466.6,6364.361,2020
Dommeldange,38,1699894.7,9291.827,2020
Eich,2,1180466.6,6364.361,2020
Gare,0,1180466.6,6364.361,2020
Gasperich,48,1362990.2,10184.25,2020
Grund,0,1180466.6,6364.361,2020
Hamm,6,1180466.6,6364.361,2020
Hollerich,7,1180466.6,6364.361,2020
Kirchberg,19,1180466.6,6364.361,2020
Limpertsberg,44,2487363.6,10487.6,2020
Merl,28,1180466.6,6364.361,2020
M?lenbach,7,1180466.6,6364.361,2020
Neudorf,244,1380536.7,9073.414,2020
Pfaffenthal,13,1180466.6,6364.361,2020
Pulverm?le,0,1180466.6,6364.361,2020
Rollingergrund,13,1180466.6,6364.361,2020
Ville-Haute,19,1180466.6,6364.361,2020
Weimerskirch,24,1180466.6,6364.361,2020
Beggen,26,1258700.3,6744.357,2021
Belair,40,2754050,10898.14,2021
Bonnevoie,99,1698747.5,8607.903,2021
Cents,45,1667227.3,8805.094,2021
Cessange,337,1976622.3,10513.61,2021
Clausen,1,1258700.3,6744.357,2021
Dommeldange,49,1667310.4,8169.801,2021
Eich,7,1258700.3,6744.357,2021
Gare,4,1258700.3,6744.357,2021
Gasperich,43,1521047.9,10917.93,2021
Grund,0,1258700.3,6744.357,2021
Hamm,19,1258700.3,6744.357,2021
Hollerich,10,1258700.3,6744.357,2021
Kirchberg,21,1258700.3,6744.357,2021
Limpertsberg,68,2546632.8,10561.26,2021
Merl,52,1883538.5,9496.334,2021
M?lenbach,6,1258700.3,6744.357,2021
Neudorf,159,1369642.9,9042.817,2021
Pfaffenthal,22,1258700.3,6744.357,2021
Pulverm?le,1,1258700.3,6744.357,2021
Rollingergrund,19,1258700.3,6744.357,2021
Ville-Haute,30,2791193.3,9437.271,2021
Weimerskirch,34,1550529.4,9612.588,2021
