ARA_Quarter,ARA_Number of offers,ARA_Average announced rent in €,ARA_Average announced rent per squared meter in €,ARA_Year
Clausen,47,1500,24.16732853,2015
Dommeldange,67,1754.925373,22.60718584,2015
Eich,26,1347.144603,18.96334046,2015
Gare,158,1300.974684,24.60121318,2015
Gasperich,67,1277.537313,20.7262069,2015
Grund,9,1347.144603,18.96334046,2015
Hamm,8,1347.144603,18.96334046,2015
Hollerich,56,1347.875,22.45359341,2015
Kirchberg,184,1946.304348,23.13509166,2015
Limpertsberg,288,1829.53125,25.74053789,2015
Merl,186,1593.817204,22.37290706,2015
M?henbach,60,1733.833333,21.24566999,2015
Neudorf,87,1521.045977,22.3571853,2015
Pfaffenthal,6,1347.144603,18.96334046,2015
Pulverm?le,2,1347.144603,18.96334046,2015
Rollingergrund,45,1517.777778,22.40898533,2015
Ville-Haute,194,1726.572165,25.62824296,2015
Weimerskirch,44,1662.954545,19.99022998,2015
Beggen,58,1296.896552,21.22799494,2016
Belair,445,1782.842697,22.61272071,2016
Bonnevoie,256,1316.289063,21.87656586,2016
Cents,41,1716.585366,21.40414725,2016
Cessange,130,1441.307692,21.48334717,2016
Clausen,35,1358.571429,20.79500705,2016
Dommeldange,47,1770.425532,24.81956454,2016
Eich,35,1497.428571,21.09991212,2016
Gare,209,1241.440191,25.50257595,2016
Gasperich,117,1548.196581,22.15293628,2016
Grund,5,1379.556691,19.73876386,2016
Hamm,11,1379.556691,19.73876386,2016
Hollerich,56,1487.5,24.04635052,2016
Kirchberg,214,1991.752336,23.98945091,2016
Limpertsberg,373,1901.768767,26.17943015,2016
Merl,240,1659.041667,22.36561377,2016
M?henbach,52,1540,20.53032374,2016
Neudorf,107,1495.841121,24.02082159,2016
Pfaffenthal,17,1379.556691,19.73876386,2016
Pulverm?le,3,1379.556691,19.73876386,2016
Rollingergrund,55,1716.727273,25.70304358,2016
Ville-Haute,266,1850.977444,26.60990392,2016
Weimerskirch,30,1596.5,20.72521194,2016
Beggen,174,1407.097701,21.44105578,2017
Belair,678,1905.184366,24.39930702,2017
Bonnevoie,399,1371.090226,23.92861841,2017
Cents,100,1596.6,23.41401049,2017
Cessange,160,1550.5,22.52857067,2017
Clausen,112,1412.321429,24.33872774,2017
Dommeldange,94,1948.829787,28.13716677,2017
Eich,69,1559.42029,22.72837708,2017
Gare,378,1337.896825,26.61052288,2017
Gasperich,241,1457.053942,23.4043718,2017
Grund,11,1442.474895,20.66545219,2017
Hamm,15,1442.474895,20.66545219,2017
Hollerich,107,1703.084112,25.01797144,2017
Kirchberg,282,2016.187943,24.55336177,2017
Limpertsberg,529,1887.524291,26.43780841,2017
Merl,337,1803.590504,24.32300618,2017
M?lenbach,46,1555,24.26380944,2017
Neudorf,181,1622.127072,24.47835018,2017
Pfaffenthal,11,1442.474895,20.66545219,2017
Pulverm?le,9,1442.474895,20.66545219,2017
Rollingergrund,84,1552.321429,26.71263953,2017
Ville-Haute,459,1993.856209,25.58730279,2017
Weimerskirch,26,1442.474895,20.66545219,2017
Beggen,223,1493.4305,27.61173,2018
Belair,1159,2036.346,25.75957,2018
Bonnevoie,492,1349.4411,31.43113,2018
Cents,129,1701.0465,23.53574,2018
Cessange,177,1556.1864,29.80465,2018
Clausen,110,1812.9091,22.51436,2018
Dommeldange,150,1458.6333,35.94198,2018
Eich,63,1535.2381,32.52633,2018
Gare,513,1655.5419,33.22612,2018
Gasperich,575,1503.8278,27.63573,2018
Grund,16,1611.3426,24.4916,2018
Hamm,26,1611.3426,24.4916,2018
Hollerich,146,1524.0068,29.87486,2018
Kirchberg,398,1932.7513,26.12539,2018
Limpertsberg,1122,2356.9652,30.87673,2018
Merl,458,1969.4105,30.24409,2018
M?lenbach,82,1863.1707,24.24281,2018
Neudorf,174,1602.0115,26.80498,2018
Pfaffenthal,66,1935.9848,34.84579,2018
Pulverm?le,7,1611.3426,24.4916,2018
Rollingergrund,93,1448.3871,34.43822,2018
Ville-Haute,668,2105.6347,29.88503,2018
Weimerskirch,54,1500.1852,26.76415,2018
Beggen,179,1314.6648,30.75027,2019
Belair,1007,2032.002,28.41021,2019
Bonnevoie,622,1231.7524,38.0564,2019
Cents,148,1831.9257,22.03736,2019
Cessange,221,1628.5294,29.36794,2019
Clausen,83,1731.1446,24.81787,2019
Dommeldange,197,1467.0812,36.67329,2019
Eich,88,1341.6477,36.27664,2019
Gare,480,1538.5521,35.67883,2019
Gasperich,704,1559.017,32.92607,2019
Grund,16,1590.8827,27.05154,2019
Hamm,27,1590.8827,27.05154,2019
Hollerich,224,1686.6295,28.39833,2019
Kirchberg,478,2196.9561,28.23537,2019
Limpertsberg,847,2196.1393,32.5881,2019
Merl,549,1698.4226,32.97012,2019
M?lenbach,121,1829.7934,27.78863,2019
Neudorf,208,1553.0288,29.89841,2019
Pfaffenthal,32,1943.75,43.93158,2019
Pulverm?le,16,1590.8827,27.05154,2019
Rollingergrund,87,1306.7816,37.47222,2019
Ville-Haute,644,2077.5264,31.10134,2019
Weimerskirch,87,1415.4023,40.98626,2019
Beggen,141,1273.9362,33.51917,2020
Belair,986,1858.3286,31.83842,2020
Bonnevoie,981,1273.42,41.94275,2020
Cents,186,1859.5699,22.55609,2020
Cessange,311,1411.1093,37.93877,2020
Clausen,64,1465.2344,31.72591,2020
Dommeldange,194,1524.268,38.01767,2020
Eich,85,1386.1176,40.54077,2020
Gare,598,1433.4448,41.20726,2020
Gasperich,672,1439.3244,37.11944,2020
Grund,19,1491.5934,32.03875,2020
Hamm,16,1491.5934,32.03875,2020
Hollerich,273,1795.4762,32.25471,2020
Kirchberg,414,1958.6232,28.97986,2020
Limpertsberg,861,1970.1614,33.66379,2020
Merl,420,1712.669,32.2988,2020
M?lenbach,77,1730.6494,30.11732,2020
Neudorf,173,1589.4509,37.64364,2020
Pfaffenthal,34,1375.2941,40.67586,2020
Pulverm?le,24,1491.5934,32.03875,2020
Rollingergrund,122,1370.082,36.41019,2020
Ville-Haute,683,1974.1728,32.55513,2020
Weimerskirch,96,1429.375,39.01312,2020
Beggen,197,1399.2893,32.35398,2021
Belair,1086,1810.0258,32.31853,2021
Bonnevoie,1145,1265.3406,40.34525,2021
Cents,173,1846.763,22.63356,2021
Cessange,528,1381.4299,35.4413,2021
Clausen,121,1585.5372,35.55906,2021
Dommeldange,245,1405.951,38.75726,2021
Eich,120,1375.2083,37.45013,2021
Gare,730,1429.5,38.97283,2021
Gasperich,887,1483.5964,35.81289,2021
Grund,23,1519.422,31.43169,2021
Hamm,36,1336.9444,39.54694,2021
Hollerich,301,1826.0631,31.81874,2021
Kirchberg,634,1978.7539,29.01263,2021
Limpertsberg,970,1923.8134,32.90633,2021
Merl,591,1836.4399,30.75682,2021
M?lenbach,105,1697.0476,30.25389,2021
Neudorf,233,1555.6438,36.23787,2021
Pfaffenthal,41,1259.7561,42.06248,2021
Pulverm?le,33,1512.1212,30.42036,2021
Rollingergrund,147,1351.8027,38.02417,2021
Ville-Haute,859,2050.7311,33.96981,2021
Weimerskirch,75,1435.2,36.42463,2021
